station_id,date,direction,lane,hour,volume_veh
AVC040,2016-07-02,3,1,0,50
AVC040,2016-07-02,3,1,1,30
AVC040,2016-07-02,3,1,2,21
AVC040,2016-07-02,3,1,3,10
AVC040,2016-07-02,3,1,4,19
AVC040,2016-07-02,3,1,5,36
AVC040,2016-07-02,3,1,6,48
AVC040,2016-07-02,3,1,7,90
AVC040,2016-07-02,3,1,8,124
AVC040,2016-07-02,3,1,9,169
AVC040,2016-07-02,3,1,10,159
AVC040,2016-07-02,3,1,11,235
AVC040,2016-07-02,3,1,12,204
AVC040,2016-07-02,3,1,13,193
AVC040,2016-07-02,3,1,14,195
AVC040,2016-07-02,3,1,15,205
AVC040,2016-07-02,3,1,16,169
AVC040,2016-07-02,3,1,17,188
AVC040,2016-07-02,3,1,18,172
AVC040,2016-07-02,3,1,19,121
AVC040,2016-07-02,3,1,20,108
AVC040,2016-07-02,3,1,21,83
AVC040,2016-07-02,3,1,22,115
AVC040,2016-07-02,3,1,23,88
AVC040,2016-07-01,3,1,0,34
AVC040,2016-07-01,3,1,1,14
AVC040,2016-07-01,3,1,2,16
AVC040,2016-07-01,3,1,3,8
AVC040,2016-07-01,3,1,4,32
AVC040,2016-07-01,3,1,5,73
AVC040,2016-07-01,3,1,6,165
AVC040,2016-07-01,3,1,7,202
AVC040,2016-07-01,3,1,8,175
AVC040,2016-07-01,3,1,9,181
AVC040,2016-07-01,3,1,10,230
AVC040,2016-07-01,3,1,11,220
AVC040,2016-07-01,3,1,12,207
AVC040,2016-07-01,3,1,13,242
AVC040,2016-07-01,3,1,14,255
AVC040,2016-07-01,3,1,15,281
AVC040,2016-07-01,3,1,16,246
AVC040,2016-07-01,3,1,17,326
AVC040,2016-07-01,3,1,18,228
AVC040,2016-07-01,3,1,19,142
AVC040,2016-07-01,3,1,20,113
AVC040,2016-07-01,3,1,21,110
AVC040,2016-07-01,3,1,22,83
AVC040,2016-07-01,3,1,23,71
AVC040,2016-07-03,3,1,0,52
AVC040,2016-07-03,3,1,1,26
AVC040,2016-07-03,3,1,2,17
AVC040,2016-07-03,3,1,3,12
AVC040,2016-07-03,3,1,4,11
AVC040,2016-07-03,3,1,5,26
AVC040,2016-07-03,3,1,6,27
AVC040,2016-07-03,3,1,7,49
AVC040,2016-07-03,3,1,8,77
AVC040,2016-07-03,3,1,9,113
AVC040,2016-07-03,3,1,10,122
AVC040,2016-07-03,3,1,11,147
AVC040,2016-07-03,3,1,12,152
AVC040,2016-07-03,3,1,13,163
AVC040,2016-07-03,3,1,14,171
AVC040,2016-07-03,3,1,15,163
AVC040,2016-07-03,3,1,16,148
AVC040,2016-07-03,3,1,17,121
AVC040,2016-07-03,3,1,18,121
AVC040,2016-07-03,3,1,19,88
AVC040,2016-07-03,3,1,20,94
AVC040,2016-07-03,3,1,21,86
AVC040,2016-07-03,3,1,22,89
AVC040,2016-07-03,3,1,23,68
AVC040,2016-07-04,3,1,0,27
AVC040,2016-07-04,3,1,1,18
AVC040,2016-07-04,3,1,2,14
AVC040,2016-07-04,3,1,3,10
AVC040,2016-07-04,3,1,4,19
AVC040,2016-07-04,3,1,5,19
AVC040,2016-07-04,3,1,6,35
AVC040,2016-07-04,3,1,7,59
AVC040,2016-07-04,3,1,8,78
AVC040,2016-07-04,3,1,9,78
AVC040,2016-07-04,3,1,10,129
AVC040,2016-07-04,3,1,11,161
AVC040,2016-07-04,3,1,12,157
AVC040,2016-07-04,3,1,13,155
AVC040,2016-07-04,3,1,14,148
AVC040,2016-07-04,3,1,15,162
AVC040,2016-07-04,3,1,16,161
AVC040,2016-07-04,3,1,17,141
AVC040,2016-07-04,3,1,18,134
AVC040,2016-07-04,3,1,19,148
AVC040,2016-07-04,3,1,20,149
AVC040,2016-07-04,3,1,21,114
AVC040,2016-07-04,3,1,22,98
AVC040,2016-07-04,3,1,23,76
AVC040,2016-07-05,3,1,0,31
AVC040,2016-07-05,3,1,1,21
AVC040,2016-07-05,3,1,2,7
AVC040,2016-07-05,3,1,3,8
AVC040,2016-07-05,3,1,4,29
AVC040,2016-07-05,3,1,5,107
AVC040,2016-07-05,3,1,6,179
AVC040,2016-07-05,3,1,7,226
AVC040,2016-07-05,3,1,8,168
AVC040,2016-07-05,3,1,9,186
AVC040,2016-07-05,3,1,10,158
AVC040,2016-07-05,3,1,11,190
AVC040,2016-07-05,3,1,12,172
AVC040,2016-07-05,3,1,13,180
AVC040,2016-07-05,3,1,14,210
AVC040,2016-07-05,3,1,15,255
AVC040,2016-07-05,3,1,16,227
AVC040,2016-07-05,3,1,17,291
AVC040,2016-07-05,3,1,18,164
AVC040,2016-07-05,3,1,19,112
AVC040,2016-07-05,3,1,20,89
AVC040,2016-07-05,3,1,21,69
AVC040,2016-07-05,3,1,22,51
AVC040,2016-07-05,3,1,23,21
AVC040,2016-07-06,3,1,0,20
AVC040,2016-07-06,3,1,1,20
AVC040,2016-07-06,3,1,2,10
AVC040,2016-07-06,3,1,3,13
AVC040,2016-07-06,3,1,4,29
AVC040,2016-07-06,3,1,5,77
AVC040,2016-07-06,3,1,6,197
AVC040,2016-07-06,3,1,7,230
AVC040,2016-07-06,3,1,8,195
AVC040,2016-07-06,3,1,9,171
AVC040,2016-07-06,3,1,10,191
AVC040,2016-07-06,3,1,11,205
AVC040,2016-07-06,3,1,12,196
AVC040,2016-07-06,3,1,13,212
AVC040,2016-07-06,3,1,14,210
AVC040,2016-07-06,3,1,15,238
AVC040,2016-07-06,3,1,16,236
AVC040,2016-07-06,3,1,17,274
AVC040,2016-07-06,3,1,18,185
AVC040,2016-07-06,3,1,19,122
AVC040,2016-07-06,3,1,20,100
AVC040,2016-07-06,3,1,21,79
AVC040,2016-07-06,3,1,22,51
AVC040,2016-07-06,3,1,23,33
AVC040,2016-07-07,3,1,0,16
AVC040,2016-07-07,3,1,1,9
AVC040,2016-07-07,3,1,2,7
AVC040,2016-07-07,3,1,3,11
AVC040,2016-07-07,3,1,4,24
AVC040,2016-07-07,3,1,5,83
AVC040,2016-07-07,3,1,6,181
AVC040,2016-07-07,3,1,7,244
AVC040,2016-07-07,3,1,8,189
AVC040,2016-07-07,3,1,9,181
AVC040,2016-07-07,3,1,10,176
AVC040,2016-07-07,3,1,11,206
AVC040,2016-07-07,3,1,12,190
AVC040,2016-07-07,3,1,13,223
AVC040,2016-07-07,3,1,14,205
AVC040,2016-07-07,3,1,15,219
AVC040,2016-07-07,3,1,16,272
AVC040,2016-07-07,3,1,17,324
AVC040,2016-07-07,3,1,18,183
AVC040,2016-07-07,3,1,19,119
AVC040,2016-07-07,3,1,20,94
AVC040,2016-07-07,3,1,21,72
AVC040,2016-07-07,3,1,22,51
AVC040,2016-07-07,3,1,23,24
AVC040,2016-07-09,3,1,0,26
AVC040,2016-07-09,3,1,1,22
AVC040,2016-07-09,3,1,2,20
AVC040,2016-07-09,3,1,3,13
AVC040,2016-07-09,3,1,4,16
AVC040,2016-07-09,3,1,5,45
AVC040,2016-07-09,3,1,6,77
AVC040,2016-07-09,3,1,7,109
AVC040,2016-07-09,3,1,8,118
AVC040,2016-07-09,3,1,9,180
AVC040,2016-07-09,3,1,10,182
AVC040,2016-07-09,3,1,11,210
AVC040,2016-07-09,3,1,12,196
AVC040,2016-07-09,3,1,13,217
AVC040,2016-07-09,3,1,14,162
AVC040,2016-07-09,3,1,15,165
AVC040,2016-07-09,3,1,16,179
AVC040,2016-07-09,3,1,17,181
AVC040,2016-07-09,3,1,18,164
AVC040,2016-07-09,3,1,19,135
AVC040,2016-07-09,3,1,20,121
AVC040,2016-07-09,3,1,21,88
AVC040,2016-07-09,3,1,22,76
AVC040,2016-07-09,3,1,23,57
AVC040,2016-07-08,3,1,0,20
AVC040,2016-07-08,3,1,1,13
AVC040,2016-07-08,3,1,2,15
AVC040,2016-07-08,3,1,3,15
AVC040,2016-07-08,3,1,4,27
AVC040,2016-07-08,3,1,5,107
AVC040,2016-07-08,3,1,6,181
AVC040,2016-07-08,3,1,7,222
AVC040,2016-07-08,3,1,8,178
AVC040,2016-07-08,3,1,9,176
AVC040,2016-07-08,3,1,10,187
AVC040,2016-07-08,3,1,11,189
AVC040,2016-07-08,3,1,12,204
AVC040,2016-07-08,3,1,13,219
AVC040,2016-07-08,3,1,14,225
AVC040,2016-07-08,3,1,15,243
AVC040,2016-07-08,3,1,16,254
AVC040,2016-07-08,3,1,17,298
AVC040,2016-07-08,3,1,18,221
AVC040,2016-07-08,3,1,19,168
AVC040,2016-07-08,3,1,20,125
AVC040,2016-07-08,3,1,21,82
AVC040,2016-07-08,3,1,22,69
AVC040,2016-07-08,3,1,23,34
AVC040,2016-07-10,3,1,0,39
AVC040,2016-07-10,3,1,1,20
AVC040,2016-07-10,3,1,2,19
AVC040,2016-07-10,3,1,3,17
AVC040,2016-07-10,3,1,4,14
AVC040,2016-07-10,3,1,5,31
AVC040,2016-07-10,3,1,6,37
AVC040,2016-07-10,3,1,7,57
AVC040,2016-07-10,3,1,8,79
AVC040,2016-07-10,3,1,9,97
AVC040,2016-07-10,3,1,10,115
AVC040,2016-07-10,3,1,11,134
AVC040,2016-07-10,3,1,12,169
AVC040,2016-07-10,3,1,13,150
AVC040,2016-07-10,3,1,14,133
AVC040,2016-07-10,3,1,15,156
AVC040,2016-07-10,3,1,16,164
AVC040,2016-07-10,3,1,17,169
AVC040,2016-07-10,3,1,18,150
AVC040,2016-07-10,3,1,19,108
AVC040,2016-07-10,3,1,20,91
AVC040,2016-07-10,3,1,21,86
AVC040,2016-07-10,3,1,22,43
AVC040,2016-07-10,3,1,23,34
AVC040,2016-07-11,3,1,0,15
AVC040,2016-07-11,3,1,1,13
